ID,Crop_ICP_Run,Crop_ICP_Run_Se,Latitude,Longitude,Altitude,LocationPrecision,SamplingStart,SamplingEnd,Crop,GrainSource,Site,Ag_grain,Al_grain,As_grain,B_grain,Ba_grain,Be_grain,Ca_grain,Cd_grain,Co_grain,Cr_grain,Cs_grain,Cu_grain,Fe_grain,K_grain,Li_grain,Mg_grain,Mn_grain,Mo_grain,Ni_grain,P_grain,Pb_grain,Rb_grain,S_grain,Se_grain,Sr_grain,Tl_grain,U_grain,V_grain,Zn_grain,Al_Oxa,Al_Sol_Ca,Al_Tot_Aqu,As_Tot_Aqu,Ba_Sol_Ca,C_inorg,C_org,C_tot,Ca_CEC,Ca_Tot_Aqu,Cd_DTPA,Cd_Sol_Ca,Cd_Tot_Aqu,Co_DTPA,Co_Sol_Ca,Co_Tot_Aqu,Cr_Tot_Aqu,Cu_DTPA,Cu_Sol_Ca,Cu_Tot_Aqu,eCEC,Fe_DTPA,Fe_Oxa,Fe_Sol_Ca,Fe_Tot_Aqu,K_CEC,K_Sol_Ca,K_Tot_Aqu,Mg_CEC,Mg_Sol_Ca,Mg_Tot_Aqu,Mn_DTPA,Mn_Oxa,Mn_Sol_Ca,Mn_Tot_Aqu,Mo_Sol_Ca,Mo_Tot_Aqu,N_pct,Na_CEC,Na_Sol_Ca,Na_Tot_Aqu,Ni_DTPA,Ni_Sol_Ca,Ni_Tot_Aqu,P_Olsen,P_Oxa,P_Sol_Ca,P_Tot_Aqu,Pb_DTPA,Pb_Sol_Ca,Pb_Tot_Aqu,PBI,pH_CaNO,pH_w,S_Ads_Seq,S_Org_Seq,S_Sol_Seq,S_Tot_Aqu,Se_Ads_Seq,Se_Org_Seq,Se_Sol_Seq,Se_Tot_Aqu,Ti_Tot_Aqu,U_Sol_Ca,Zn_DTPA,Zn_E,Zn_LogKd,Zn_Sol_Ca,Zn_Tot_Aqu
MWI0132,7,5,-16.71617454,35.06432575,136,5,23/04/2018,23/04/2018,Sorghum,Standing crop,Main,NA,27.435,NA,NA,1.031,0.053,188.751,NA,0.043,NA,NA,3.877,46.035,4606.041,NA,2229.081,14.323,1.059,0.793,3638.515,NA,3,2307.22514,0.16792,4.592,NA,NA,0.328,32.602,768.75618,0.0082,18469.01218,1.37874,NA,0.0039,1.2241,1.228,10.5936,3102.74281,0.03311,0.0002,0.11611,0.058,0.00032,8.56988,21.85151,0.46456,0.00261,9.16862,14.5369,6.09274,965.93209,0.01516,18344.25278,0.9668,227.18708,3780.30746,3.32953,256.77904,3001.08997,9.53897,352.11225,0.00636,449.15703,0.00156,0.18283,0.0862,0.1684,34.35546,205.79524,0.412,0.00399,11.89571,10.3464,80.45801,0.42464,289.34814,0.6976,0.00007,9.66199,55.61765,6.63,7.56,0.51421,87.59221,3.16559,90.36332,4.6889,94.71634,3.34856,0.3123,295.8301,0.00003,1.39348,25.65984,4.14413,0.01252,53.69049
MWI0133,7,5,-16.62361159,34.9681621,145,5,23/04/2018,23/04/2018,Pearl millet,Standing crop,Main,NA,13.479,NA,NA,3.597,NA,240.101,NA,0.084,NA,NA,5.847,72.932,4991.578,NA,1268.421,12.082,0.568,1.275,1937.73,NA,2.991,2576.56527,0.24367,2.008,NA,NA,0.318,50.203,714.03824,0.03217,8884.67406,0.49342,NA,0,0.503,0.503,5.57073,990.64904,0.00613,0.00032,0.0171,0.13638,0.00027,6.18085,25.09009,0.37017,0.00152,6.72106,6.17496,7.00255,801.94496,0.01972,12539.22049,0.37626,111.92414,1294.12869,1.24942,105.09811,965.80718,15.32166,212.81837,0.17279,275.04933,0.00053,0.16572,0.0344,0.02074,2.47214,57.88369,0.55083,0.04225,9.13018,1.0584,NA,0.0429,73.32531,0.18537,0.00012,4.24625,37.81476,7.02,6.76,0.51497,34.06711,1.55353,30.91491,5.55654,109.49556,1.76188,0.22721,202.98502,0.00001,0.56663,3.60219,3.08914,0.02058,13.87824
MWI0134,7,5,-16.69921267,34.96534872,186,5,23/04/2018,23/04/2018,Maize,Standing crop,Main,NA,7.267,NA,NA,0.429,NA,68.422,NA,NA,NA,NA,1.929,NA,4605.659,NA,1527.457,7.06,0.756,NA,3276.417,NA,1.636,2773.13003,0.16316,0.389,NA,NA,0.284,26.655,683.16279,0.01065,10932.16096,0.72116,NA,0.0092,0.9,0.9092,10.00342,2556.32887,0.01005,0.00007,0.03993,0.0314,0.00077,5.33599,13.15486,0.27535,0.00763,4.7303,12.98201,4.24002,650.65921,0.01687,7260.43123,1.28059,294.41739,1984.39208,2.33347,164.58896,1708.3798,13.08137,613.7569,0.00345,659.73908,0.00901,0.26134,0.0757,0.03157,4.48266,64.23419,0.16989,0.00576,6.99103,45.4032,196.81086,6.65227,373.34076,0.38638,0.00011,7.10042,55.42947,6.87,7.62,1.11679,83.71458,3.88527,77.75017,3.55117,62.94473,3.50553,0.28726,176.0964,0.00025,1.2875,19.84066,4.13968,0.00954,20.66148
MWI0135,8,6,-15.73024924,35.73194685,708,5,16/05/2018,16/05/2018,Maize,Store,Close pair,NA,NA,NA,NA,0.674,NA,51.832,NA,0.005,NA,NA,1.161,16.884,3182.466,NA,1179.292,6.373,0.151,0.103,2776.825,NA,2.333,2098.9827,0.00959,0.553,NA,NA,0.254,23.289,1066.18652,0.07764,25630.96825,0.61975,38.12219,0.01,0.836,0.846,8.62116,3712.11236,0.00307,0.00018,0.01756,0.05671,0.00066,8.89723,29.90947,0.61785,0.01048,14.24237,10.59019,7.88066,1640.34324,0.08222,31015.83357,0.88032,271.40281,2644.57221,2.30253,175.81348,2429.42695,5.7477,187.89838,0.00768,411.92083,0.00855,0.16666,0.063,0.04114,5.62767,118.45845,0.15112,0.00411,14.7904,22.5802,294.10678,0.80742,522.27658,0.75394,0.00115,12.91702,64.90228,7,7.81,1.37148,67.3764,2.42505,70.3638,2.83556,94.94758,2.08762,0.5097,1604.72586,0.00291,2.25799,18.97999,3.60994,0.02567,63.42606
MWI0136,7,5,-13.23592373,34.31644868,514,5,24/04/2018,24/04/2018,Maize,Field stack,Main,NA,33.032,0.017,NA,0.363,NA,131.841,NA,0.021,NA,0.023,1.712,33.223,4334.981,NA,1166.737,6.095,0.204,NA,2750.729,NA,14.449,1829.78273,0.04229,0.429,NA,NA,0.488,23.434,1987.52447,0.4526,28321.6781,0.27113,64.85901,0,1.732,1.732,4.28342,1183.46224,0.00904,0.001,0.03215,0.28418,0.00233,16.2605,35.40383,1.10975,0.00608,27.44098,6.49787,12.54954,1470.10545,0.00801,51472.73106,0.78417,82.48819,912.6725,1.86649,97.33015,846.36165,42.0752,847.24287,6.49093,1160.83937,0.00009,0.17155,0.1178,0.03125,5.6918,32.37666,0.1518,0.03226,14.10421,6.9173,121.66618,0.39223,406.36558,0.18737,0.00014,4.87367,64.59664,5.56,6.25,1.77383,77.72527,2.14856,81.57701,3.86194,179.85143,1.69138,0.41257,2406.72801,0.00001,1.81221,1.95006,2.12793,0.07312,43.38862
MWI0137,7,5,-13.28549867,34.3069426,465,5,24/04/2018,24/04/2018,Maize,Standing crop,Main,NA,3.774,NA,NA,0.758,NA,73.029,NA,NA,NA,NA,1.793,NA,4333.631,0.128,1053.203,8.636,0.205,NA,2774.544,NA,19.413,1588.5132,0.00356,0.672,NA,NA,0.356,18.424,1866.35421,0.3763,19095.16854,0.1293,4.31675,0,0.6559,0.6559,1.12259,376.39266,0.00143,0.00247,0.00343,0.0236,0.03008,4.23318,10.71984,0.12374,0.0046,3.47011,0.71115,12.31942,1115.16931,0.01254,12339.95256,0.12509,47.92364,178.78113,0.47945,42.56627,173.79585,15.8085,467.16125,23.4521,635.71952,0.00007,0.09359,0.0386,0.03209,4.50872,22.2814,0.02109,0.0142,5.05808,59.02053,456.42028,0.54754,631.63248,0.01561,0.00014,3.0183,68.99217,5.28,5.78,1.04185,25.94336,1.41058,26.42286,1.98354,50.61534,1.30326,0.24491,1482.67294,0.00003,0.44503,1.19545,1.62347,0.15736,15.09059
MWI0138,4,3,-15.29502106,35.40594463,745,6,24/04/2018,24/04/2018,Maize,Standing crop,Main,NA,NA,NA,NA,NA,NA,46.64,NA,NA,NA,NA,1.985,NA,4152.905,NA,1386.902,4.47,0.618,0.117,3411.902,NA,4.069,1626.3682,NA,0.29,NA,NA,0.213,26.604,1116.94122,0.06837,10430.39329,0.13874,14.83987,0,0.7576,0.7576,5.52438,953.95607,0.00421,0.00021,0.00813,0.0771,0.00059,8.08537,83.74749,0.21544,0.00658,7.70302,5.08439,13.95485,1867.37229,0.0199,35213.74572,0.25386,115.66911,702.5621,0.7298,60.33136,793.67304,15.39056,296.93056,0.15624,516.1053,0.00041,0.27128,0.0539,0.02284,3.33272,53.9442,0.1553,0.00982,13.54814,18.0674,263.84511,0.47494,412.55754,0.06311,0.00014,2.50855,57.55248,6.08,6.51,0.40916,37.8474,1.3705,31.4601,0.86148,51.23161,1.85521,0.18437,1914.8697,0.00003,1.11055,3.93662,2.49083,0.07489,21.3598
MWI0139,4,3,-15.53506049,35.4229713,714,5,23/04/2018,23/04/2018,Maize,Store,Main,NA,59.943,NA,NA,1.675,NA,66.479,NA,0.106,0.587,NA,1.52,79.514,3465.91,NA,1128.909,6.42,NA,0.61,2532.704,0.01,7.498,1732.19127,NA,1.171,NA,NA,0.319,19.577,1066.8366,0.15889,14107.03394,0.26521,60.18701,0,0.7704,0.7704,3.24019,891.07292,0.00627,0.00131,NA,0.26123,0.22788,10.8047,41.56916,0.35316,0.00601,8.17925,5.49238,33.70197,2432.02826,0.01947,24389.58186,0.18791,92.62014,752.77302,0.94087,89.40323,990.35151,22.44132,306.11018,22.56424,502.355,0.00014,0.03195,0.0504,0.03981,5.08131,42.32939,0.62679,0.1578,15.37467,21.24053,213.14637,0.24693,275.69141,0.10464,0.00017,4.22857,51.24813,5.45,5.67,0.79257,25.68136,1.68526,25.89318,1.73864,62.56229,0.94406,0.36155,2903.43423,0.00002,0.48375,1.91363,1.55098,0.27224,35.08324
MWI0140,7,5,-16.42044935,35.16040918,53,5,24/04/2018,24/04/2018,Maize,Store,Close pair,NA,2.621,NA,NA,NA,NA,42.736,NA,NA,NA,NA,1.822,NA,4832.802,NA,1303.158,4.75,2.546,NA,3473.376,NA,1.527,2370.55301,0.20018,0.143,NA,NA,0.28,20.342,974.09666,0.00684,16682.98732,0.81836,NA,0.0023,0.952,0.9543,7.72258,5928.34692,0.00627,0.00007,0.0324,0.06257,0.0004,11.06628,34.84319,0.47557,0.00433,19.92303,9.8178,13.6797,2132.2839,0.01844,28628.24503,0.82066,215.77697,3271.94724,2.26109,191.83051,4280.25155,8.99991,259.80138,0.01459,444.3378,0.00507,0.39636,0.063,0.0585,8.99758,449.27552,0.34911,0.0074,15.1287,40.392,277.66627,3.95101,909.59375,0.04305,0.0001,2.43241,54.47144,6.27,7.06,0.53517,48.9475,1.79248,52.01524,5.73289,151.79538,5.36252,0.33939,1743.20471,0.00002,0.90314,6.70612,3.69179,0.00906,40.95111
MWI0141,7,5,-13.47537937,34.18539545,602,5,26/04/2018,26/04/2018,Maize,Standing crop,Main,NA,2.565,NA,NA,1.245,NA,71.679,NA,NA,NA,NA,2.507,20.823,4127.773,NA,1198.168,8.78,0.16,NA,2588.679,NA,2.93,2325.00489,0.01674,1.172,NA,NA,0.293,28.633,1285.63314,0.04593,28066.24285,0.15481,12.86021,0,0.8176,0.8176,4.51763,3024.59668,0.00491,0.00016,0.02287,0.24153,0.00039,11.69429,34.72798,0.70297,0.00502,22.62204,5.35609,14.56578,1182.27225,0.01775,26548.89096,0.24599,258.9992,4319.09887,1.26929,140.90274,4707.7455,30.12707,309.42586,0.05438,516.99468,0.00009,0.04265,0.0618,0.0402,3.28266,250.83364,0.24165,0.00484,17.92742,15.75016,139.28381,0.10725,191.54313,0.18827,0.00014,4.00055,40.00475,5.38,5.92,1.39029,40.31065,3.90029,54.97441,2.15789,66.89508,0.66845,0.20516,1135.76414,0.00001,0.29759,6.05055,2.90797,0.0397,29.36365
