ID,Crop_ICP_Run,Crop_ICP_Run_Se,Latitude,Longitude,Altitude,LocationPrecision,SamplingStart,SamplingEnd,Crop,GrainSource,Site,Ag_grain,Al_grain,As_grain,B_grain,Ba_grain,Be_grain,Ca_grain,Cd_grain,Co_grain,Cr_grain,Cs_grain,Cu_grain,Fe_grain,K_grain,Li_grain,Mg_grain,Mn_grain,Mo_grain,Ni_grain,P_grain,Pb_grain,Rb_grain,S_grain,Se_grain,Sr_grain,Tl_grain,U_grain,V_grain,Zn_grain,Al_Oxa,Al_Sol_Ca,Al_Tot_Aqu,As_Tot_Aqu,Ba_Sol_Ca,C_inorg,C_org,C_tot,Ca_CEC,Ca_Tot_Aqu,Cd_DTPA,Cd_Sol_Ca,Cd_Tot_Aqu,Co_DTPA,Co_Sol_Ca,Co_Tot_Aqu,Cr_Tot_Aqu,Cu_DTPA,Cu_Sol_Ca,Cu_Tot_Aqu,eCEC,Fe_DTPA,Fe_Oxa,Fe_Sol_Ca,Fe_Tot_Aqu,K_CEC,K_Sol_Ca,K_Tot_Aqu,Mg_CEC,Mg_Sol_Ca,Mg_Tot_Aqu,Mn_DTPA,Mn_Oxa,Mn_Sol_Ca,Mn_Tot_Aqu,Mo_Sol_Ca,Mo_Tot_Aqu,N_pct,Na_CEC,Na_Sol_Ca,Na_Tot_Aqu,Ni_DTPA,Ni_Sol_Ca,Ni_Tot_Aqu,P_Olsen,P_Oxa,P_Sol_Ca,P_Tot_Aqu,Pb_DTPA,Pb_Sol_Ca,Pb_Tot_Aqu,PBI,pH_CaNO,pH_w,S_Ads_Seq,S_Org_Seq,S_Sol_Seq,S_Tot_Aqu,Se_Ads_Seq,Se_Org_Seq,Se_Sol_Seq,Se_Tot_Aqu,Ti_Tot_Aqu,U_Sol_Ca,Zn_DTPA,Zn_E,Zn_LogKd,Zn_Sol_Ca,Zn_Tot_Aqu
MWI0001,1,1,-16.08632821,35.28528102,690,5,25/04/2018,25/04/2018,Maize,Store,Main,NA,5.386,NA,NA,1.1,NA,52.276,NA,0.073,0.366,0.001,1.817,28.291,4911.643,NA,1671.119,6.324,NA,0.959,3996.044,NA,5.709,1266.71582,0.02983,0.564,NA,NA,0.108,30.659,1706.73747,0.43968,28856.5629,0.17684,NA,0,1.285,1.285,4.10582,809.24518,0.00519,0.00085,0.01534,0.71446,0.00478,31.68014,105.96247,2.15067,0.01233,40.08486,6.2231,29.94886,2383.01641,0.01605,38677.93776,0.37945,111.11811,2395.67844,1.27487,111.63001,2852.86753,76.79817,1097.63395,7.96516,1242.31458,0.00002,0.1814,0.1362,0.05688,7.72474,53.91942,0.52245,0.10298,34.96614,15.94,219.06954,0.2031,581.04892,0.21118,0.00018,6.80471,81.82859,4.95,5.83,NA,21.49943,3.03462,78.95605,6.26975,174.3997,9.31405,0.26252,1573.56183,0.00002,1.02994,2.23667,1.91567,0.18487,33.74505
MWI0002,2,2,-13.24807556,33.67314558,1099,9,23/05/2018,23/05/2018,Maize,Standing crop,Main,NA,3.688,NA,NA,0.797,NA,50.652,NA,0.021,NA,0.02,1.934,10.731,2500.2,NA,878.225,4.482,0.202,0.192,1792.877,NA,6.622,1569.22386,0.0126,0.46,NA,NA,0.074,20.764,895.36686,0.04233,13983.04832,NA,13.76075,0.0087,0.6435,0.6522,5.25268,1838.09614,0.00564,0.00019,0.00596,0.05381,0.00042,5.6622,19.97979,0.19029,0.0068,6.97149,5.13647,4.52695,793.81955,0.00846,16639.22454,0.24497,103.82921,1308.74839,0.60602,62.09756,899.87531,12.92579,240.5187,0.0041,315.4447,0.00766,0.15685,0.045,0.01896,1.60539,41.2179,0.10714,0.00296,8.71882,37.32,202.49567,2.58269,423.91738,0.07042,0.0002,2.24215,48.89972,6.91,7.75,1.16984,5.11048,3.76874,34.81612,2.95567,48.75271,4.3403,0.11902,1218.72029,0.00082,1.1729,13.31149,3.6008,0.01966,31.14718
MWI0003,2,1,-13.02639598,33.59826308,1149,7,12/05/2018,12/05/2018,Maize,Standing crop,Close pair,NA,2.496,NA,NA,0.97,NA,65.898,NA,0.009,0.318,0.001,1.645,13.182,4316.728,NA,1329.356,6.535,NA,0.321,3676.318,NA,2.079,1495.36451,0.02786,0.998,NA,NA,0.084,22.305,813.2188,0.05239,18577.29122,0.26181,NA,0,0.824,0.824,3.31436,835.23772,0.0048,0.00039,0.03567,0.0877,0.00033,6.01065,15.32184,0.14381,0.00485,5.60131,5.9457,16.73925,698.22812,0.00619,18831.16449,0.12065,58.80084,1566.43169,0.71448,67.44862,1494.80367,28.32402,389.98613,0.28694,517.73485,0.00016,0.14325,0.052,0.02674,2.8846,44.79879,0.16293,0.01307,8.91226,13.58,58.41769,0.38618,263.19245,0.12295,0.00012,3.70418,33.86014,5.03,6.04,2.68925,17.61034,5.93584,36.01974,3.34453,45.97586,6.57003,0.15195,726.1001,0.00002,0.50922,1.98324,2.16681,0.05612,21.44883
MWI0004,2,1,-12.95081497,33.47654167,1030,6,01/05/2018,01/05/2018,Maize,Field stack,Close pair,NA,NA,NA,NA,0.601,NA,39.465,NA,0.011,NA,0.003,2.391,16.04,3458.066,NA,944.712,4.703,NA,0.242,2193.072,NA,5.333,1436.81389,0.00898,0.438,NA,NA,0.091,18.115,2022.95629,0.3398,23853.46355,0.87365,NA,0,0.6192,0.6192,1.34009,410.88692,0.01,0.00242,0.0307,0.24129,0.00257,11.45533,73.60609,0.54728,0.00275,17.20646,3.54447,7.72142,1567.45296,0.00524,26591.22154,0.41125,193.99378,1214.42577,0.84269,94.75006,1108.67326,40.23946,367.37034,5.51883,526.62191,0.00017,0.05533,0.0568,0.02122,2.06839,56.18605,0.21992,0.06497,25.35534,3.48,NA,0.14279,159.85533,0.52769,0.00026,11.84217,49.77646,5.09,6.24,NA,7.94044,5.26578,37.65836,3.86804,111.72312,4.74669,0.11593,776.90657,0.00002,1.18683,2.78981,1.69882,0.2564,34.2654
MWI0005,3,3,-14.60188511,34.72054065,600,5,27/04/2018,27/04/2018,Maize,Standing crop,Close pair,NA,NA,NA,NA,NA,NA,50.965,NA,0.01,0.184,NA,1.788,NA,4002.645,NA,1202.401,6.005,0.66,0.242,3184.318,NA,2.14,2222.26381,0.10098,0.257,NA,NA,0.167,19.683,1331.01455,0.03826,19645.35574,0.46202,9.7095,0,1.293,1.293,9.28592,6954.97053,0.00827,0.0001,0.02855,0.04153,0.0008,11.60541,66.55255,0.3211,0.00751,17.89879,10.71248,13.08666,1925.97463,0.01147,28960.99539,0.63019,238.95764,5098.0561,2.27912,193.18487,7010.64554,10.83668,351.00306,0.01051,485.46758,0.00142,0.3241,0.0942,0.0459,7.05967,405.01182,0.60555,0.01241,32.24339,45.46,644.61593,6.11444,1748.8545,0.06483,0.00007,3.32978,57.20481,6.33,6.99,NA,88.51392,2.74227,140.64775,2.67449,129.33291,4.59823,0.31213,2256.88021,0.00009,1.25217,8.69259,3.28655,0.02024,43.88608
MWI0006,3,3,-14.67514604,34.8639561,675,5,27/04/2018,27/04/2018,Maize,Standing crop,Close pair,NA,12.491,NA,NA,NA,NA,55.362,NA,0.014,0.543,0.001,2.879,NA,3115.668,NA,978.904,6.154,0.296,0.332,2299.6,0.01,4.731,2071.84045,NA,0.577,NA,NA,0.193,19.963,1429.96431,0.0878,28378.8591,0.42338,17.90929,0,1.136,1.136,5.08908,1737.5786,0.00605,0.0007,0.02318,0.34959,0.07795,10.81761,60.1323,0.59416,0.00626,19.92101,7.43906,10.58747,1319.14681,0.01198,36751.09065,0.33449,128.47277,1978.26255,1.8587,155.57278,2041.49259,56.67759,274.70628,31.6057,405.99352,0.00015,0.31293,0.0804,0.04312,6.44115,141.41293,0.33497,0.03249,18.39257,6.12,6.65818,NA,163.38134,0.19433,0.00009,4.97857,56.42699,5.53,5.84,1.45741,61.59267,3.6976,74.64453,2.37996,171.48092,5.80104,0.25975,1218.30493,0.00004,0.51649,2.21021,1.9681,0.11664,28.18173
MWI0007,7,5,-14.64937048,35.01058007,759,5,17/05/2018,17/05/2018,Maize,Store,Main,NA,2.525,NA,NA,0.86,NA,87.908,NA,0.029,NA,0.019,1.843,NA,4669.086,NA,1636.603,7.06,0.699,NA,3804.076,NA,15.131,1684.97435,0.00581,0.66,NA,NA,0.357,25.537,736.34603,0.151,6085.48153,0.44576,NA,0,0.33,0.33,1.37283,509.40685,0.00144,0.00039,0.00464,0.04714,0.0012,2.12138,6.84692,0.0712,0.00139,2.81029,0.96545,10.20882,730.46583,0.01278,7163.30726,0.06781,36.82863,518.71176,0.29903,29.29974,314.72441,15.85555,164.84022,1.14934,254.2973,0.00011,0.02235,0.0127,0.02373,3.22619,64.47937,0.03542,0.01253,2.40637,6.15866,5.08169,0.13837,178.5831,0.14787,0.00027,6.26523,13.85154,5.29,6.34,0.31412,18.17155,1.03921,10.08092,1.24355,25.33206,0.84313,0.50186,445.74676,0.00003,0.19016,0.91913,2.14255,0.04385,8.31891
MWI0011,3,3,-9.740945329,33.5224776,1298,5,29/05/2018,29/05/2018,Maize,Standing crop,Main,NA,11.129,NA,NA,0.545,NA,69.763,NA,0.022,0.884,0.001,1.963,NA,3500.092,NA,1072.577,6.053,0.318,0.747,2127.571,0.038,7.242,1683.72197,0.03028,0.382,NA,NA,0.185,19.626,1000.07325,4.52569,21180.38431,0.36419,9.83272,0,0.4883,0.4883,0.55111,180.70512,0.00153,0.00172,0.00655,0.20414,0.44769,11.09472,88.6057,0.23523,0.00808,17.33428,1.75441,13.63011,936.87977,0.01865,37203.19874,0.16838,81.23328,5241.63965,0.30175,37.29857,4370.37455,34.62587,163.58656,43.61323,407.58184,0.00006,0.09787,0.038,0.01998,2.10428,50.12349,0.06797,0.0563,31.21417,10.36,NA,NA,156.7919,0.65524,0.00101,9.86856,41.22521,5.11,5.24,2.75504,31.25047,5.06743,55.74553,5.42407,68.55102,12.26088,0.39306,1224.68143,0.00015,0.1181,1.09178,0.94105,0.32842,35.71036
MWI0012,3,2,-13.83229413,33.52922905,1164,5,17/05/2018,17/05/2018,Maize,Standing crop,Main,NA,8.282,NA,NA,NA,NA,64.265,NA,0.016,0.057,0.216,1.752,17.529,3626.01,NA,1041.916,5.574,0.186,NA,2254.552,NA,26.852,1513.38603,0.00953,0.636,NA,NA,0.184,19.625,2212.40882,NA,53113.72914,0.40273,NA,0,1.399,1.399,3.26544,1036.91056,0.01218,0.0011,0.02649,0.30632,0.08263,25.31335,113.25664,0.3147,0.00773,37.75439,4.68194,6.54614,1066.31296,0.00635,54916.46739,0.16189,65.31076,315.55329,0.98292,99.99359,484.02043,63.75125,394.06644,27.41089,647.78354,0.00008,0.48801,0.092,0.02056,1.87907,48.54986,0.03211,0.01244,47.10384,6.9,NA,NA,421.82677,0.1668,0.00011,10.04877,91.43596,5.44,5.75,8.60857,101.07437,6.96977,107.53121,7.74842,206.45914,10.98164,0.36187,668.93953,0.00004,0.18508,4.59234,2.6873,0.06791,37.06371
MWI0013,1,1,-15.82040319,35.19163881,888,5,17/05/2018,17/05/2018,Maize,Store,Close pair,NA,3.989,NA,NA,0.55,NA,55.365,NA,0.017,0.54,NA,2.348,22.688,3716.109,NA,1267.505,5.093,NA,0.385,3195.146,NA,6.192,1400.56359,0.03131,0.575,NA,NA,0.086,23.707,766.05729,1.29033,9933.15906,0.21292,NA,0,0.5583,0.5583,1.0588,419.46409,0.00201,0.00135,0.00615,0.07879,0.10182,1.69832,5.10351,0.08803,0.0061,0.63489,2.38793,26.38831,1305.89661,0.04362,18603.24617,0.07627,34.24104,406.73918,0.24932,28.88831,634.9825,9.90266,117.21187,13.7526,285.67156,0.00018,0.18388,0.0437,0.0391,4.21485,69.51207,0.02926,0.01521,NA,11.24,107.83971,0.18888,345.4241,0.18469,0.00037,6.83953,32.07044,5.01,5.52,NA,2.68042,2.4196,28.43109,2.43393,76.05882,3.89515,0.22174,2248.17636,0.00004,0.33835,0.79887,1.09651,0.20908,21.11281
MWI0014,3,2,-10.42236539,34.22943656,482,5,16/04/2018,16/04/2018,Maize,Standing crop,Main,NA,NA,NA,NA,NA,NA,53.088,NA,0.002,0.137,NA,2.585,9.805,5857.694,NA,1425.526,7.504,0.515,0.18,4286.705,NA,3.461,1756.37911,0.02694,0.119,NA,NA,0.117,25.281,1294.48585,0.02365,12274.98401,0.31964,4.02221,0,1.142,1.142,6.12273,1636.78457,0.01933,0.00025,0.04236,0.03497,0.00016,5.59422,11.73868,0.28228,0.00515,5.39297,7.6409,29.67735,2659.50286,0.00852,18468.60025,0.37144,141.39178,1352.9122,1.33327,115.5809,1067.01342,54.43704,1879.38659,0.06135,2230.13375,0.00017,0.18151,0.069,0.06265,9.31754,30.05346,0.26775,0.00734,6.83695,50.01818,418.64361,3.05798,876.10647,0.03795,0.0001,4.40193,64.80352,5.66,6.47,NA,59.89762,5.68172,23.71583,4.35273,88.77353,6.68289,0.11841,587.14386,0.00001,2.20336,6.26307,3.00401,0.03898,31.11279
MWI0015,3,2,-10.43960772,34.24239851,465,5,16/04/2018,16/04/2018,Maize,Standing crop,Main,NA,NA,NA,NA,NA,NA,50.672,NA,0.004,NA,NA,1.905,8.12,4701.282,NA,1468.513,8.016,0.338,0.233,3820.695,NA,2.022,1890.89912,0.01027,0.333,NA,NA,0.125,22.187,947.83662,0.0583,21119.54877,0.10699,18.29111,0,1.108,1.108,6.6708,1842.20108,0.01423,0.00069,0.01271,0.07738,0.00049,11.92888,42.47678,0.65701,0.0109,16.42961,9.05578,42.88692,2713.31095,0.01798,24438.80775,0.38341,121.7468,5544.16782,1.88206,153.4885,5314.11229,19.31233,395.56782,0.0943,633.81235,0.00105,0.02572,0.0754,0.06406,11.6974,93.27711,0.44282,0.0334,23.24141,30.6,368.90048,1.68981,441.87341,0.16044,0.0002,4.2198,47.63842,6.72,6.36,NA,83.63768,5.36412,41.63232,3.44549,147.28912,5.68204,0.1575,1320.78813,0.00002,2.28558,5.5033,2.37778,0.15309,38.67229
MWI0016,3,2,-10.4048856,34.18743602,579,5,16/04/2018,16/04/2018,Maize,Standing crop,Main,NA,2.133,NA,NA,NA,NA,69.824,NA,0.004,NA,0.001,1.654,9.042,4823.625,NA,1553.392,6.947,0.634,0.074,3844.837,NA,10.279,1692.03755,0.10315,0.286,NA,NA,0.137,21.049,929.76597,0.03831,8929.12788,0.0536,11.79384,0.0213,1.5377,1.559,8.22747,2973.36447,0.00896,0.00004,0.01136,0.02444,0.00039,4.05197,7.04084,0.16011,0.00513,4.43357,9.06071,6.79837,581.59418,0.00959,5083.15634,0.26238,113.99802,499.90072,1.01884,100.0253,403.108,23.31475,741.05692,0.00741,912.9355,0.00338,0.08526,0.0888,0.05142,8.99092,29.82455,0.07583,0.00148,3.27728,50.34545,295.38059,6.65455,488.927,0.07175,0.00005,3.97121,66.25384,5.5,7.84,NA,90.89023,6.77249,50.49921,4.02957,112.71152,9.00224,0.1084,439.37879,0.00098,2.15934,23.88088,3.95443,0.01271,17.22863
MWI0017,3,2,-10.44520402,34.11706843,550,5,16/04/2018,16/04/2018,Maize,Store,Main,NA,16.633,NA,NA,NA,NA,67.344,NA,0.008,0.469,NA,2.205,13.518,4538.717,NA,1235.089,6.464,0.833,0.398,3418.395,0.019,0.872,1502.85678,0.08452,0.334,NA,NA,0.15,25.242,727.26677,0.02695,13849.3704,0.22356,16.52105,0,0.9379,0.9379,10.44615,2490.49768,0.00676,0.00024,0.01759,0.02295,0.00024,2.96904,12.23138,0.24317,0.00583,4.84092,14.81813,31.94699,1140.82269,0.01184,8976.81538,0.90024,241.15043,1917.47394,2.74993,186.09065,2278.86212,26.18881,248.98509,0.09381,355.75131,0.00056,0.07232,0.067,0.062,9.17089,26.15433,0.30455,0.01676,5.55179,45.54545,229.22407,6.63699,347.29416,0.24677,0.00011,4.8637,52.61192,5.57,6.4,0.218,56.42901,5.31212,35.87726,2.40387,69.11784,4.82425,0.11316,200.08561,0.00001,1.98605,4.15416,2.44414,0.09736,18.59514
MWI0018,3,2,-10.56222004,34.17403654,477,5,16/04/2018,16/04/2018,Maize,Standing crop,Main,NA,1.29,NA,NA,NA,NA,93.695,NA,NA,NA,0.033,1.807,NA,5056.481,NA,1168.122,6.709,0.287,0.135,3130.807,NA,12.623,1512.65981,0.02088,0.376,NA,NA,0.138,19.519,727.187,0.41627,19214.8369,0.51366,10.14094,0,0.4927,0.4927,13.26902,3307.91383,0.00569,0.00043,0.01614,0.04475,0.00014,5.71962,22.88944,0.17672,0.00443,8.8924,16.31829,16.97252,610.64801,0.00741,18331.27389,0.22343,54.73116,2785.92796,2.0695,132.3608,4217.06448,33.25756,182.21197,0.26421,390.25404,0.00007,0.0192,0.0334,0.12771,23.55538,87.51552,0.4115,0.05126,12.42232,14.81818,56.79498,2.06115,141.43634,0.19718,0.00012,7.11286,27.48716,5.34,6.11,NA,22.90244,2.90849,4.11141,1.59382,38.21058,4.86052,0.13076,406.01252,0.00002,0.13376,0.68155,2.02982,0.03531,20.79359
MWI0019,3,2,-10.3297783,34.13713639,492,5,17/04/2018,17/04/2018,Maize,Standing crop,Main,NA,1.541,NA,NA,0.888,NA,63.697,NA,NA,0.04,NA,1.21,8.913,4491.188,NA,1497.641,7.393,0.608,0.173,3605.733,NA,1.126,1661.24114,0.03508,0.593,NA,NA,0.135,28.945,643.67692,0.02263,10808.93583,0.12758,40.52401,0.0081,0.9088,0.9169,9.36463,2801.61811,0.00819,0.00009,0.01041,0.0206,0.00041,4.16493,12.58755,0.13426,0.00571,4.00423,10.04197,6.29029,801.71076,0.00941,13727.49145,0.77463,250.6244,1776.63062,1.2462,98.43785,1546.33658,7.29385,272.00685,0.00346,416.50011,0.00353,0.04411,0.0605,0.05882,9.26643,53.73975,0.11634,0.00367,5.92726,39.05455,230.95224,5.0952,385.74832,0.22979,0.00011,3.703,50.51597,6.74,8.05,NA,60.06887,5.04768,42.03196,2.83166,48.04336,5.56542,0.10707,957.66175,0.00046,2.02264,30.9335,3.8078,0.02783,26.8822
MWI0020,4,3,-15.6323855,35.36246921,773,5,16/04/2018,16/04/2018,Maize,Store,Main,NA,4.849,NA,NA,0.85,0.046,74.772,NA,0.013,NA,NA,2.358,NA,4360.748,NA,1298.98,5.809,0.302,0.182,3384.596,NA,3.977,1574.51428,NA,0.927,NA,NA,0.234,23.198,1992.16387,0.04742,33994.57361,0.5732,25.67879,0,1.145,1.145,7.71123,1934.49522,0.01206,0.00022,0.03124,0.28085,0.00082,24.62129,91.37461,0.52435,0.006,22.57071,11.1778,16.38095,2246.24216,0.00982,43782.87021,0.62385,243.75537,2403.43055,2.20316,176.04731,2231.13508,30.32861,631.68275,0.04921,802.14837,0.00028,0.52124,0.0873,0.05222,7.71184,69.50277,0.75533,0.03088,38.00428,21.19928,355.86085,0.68292,724.51681,0.23753,0.00014,11.34416,87.94843,5.79,6.34,1.12769,59.68769,1.45652,65.76458,2.97538,111.927,1.37976,0.55841,1714.14506,0.00002,1.21448,6.03413,2.921,0.04399,51.92292
MWI0021,6,5,-12.58921791,34.11315241,522,5,17/04/2018,17/04/2018,Maize,Standing crop,Close pair,NA,NA,NA,NA,0.123,NA,59.566,NA,NA,NA,0.046,1.616,NA,4451.244,NA,1247.597,5.507,0.283,NA,3299.393,NA,10.908,1786.24138,0.02427,0.782,NA,NA,0.225,18.268,840.2761,0.04019,17417.17805,0.2689,5.33693,0,1.065,1.065,8.80795,2227.26098,0.00227,0.00012,0.01796,0.0289,0.00032,6.22154,19.25519,0.10034,0.00515,7.48828,8.0942,7.70529,596.70723,0.01884,25228.61231,0.12716,44.41607,4229.27178,1.03399,70.3212,3770.39998,5.6939,52.35655,0.0288,223.13505,0.00035,0.1164,0.0726,0.09628,11.41376,137.35909,0.02072,0.00173,10.84015,10.55686,103.5235,0.21677,337.81679,0.08226,0.00016,3.925,22.60168,6.03,6.75,0.51278,42.52696,2.96893,63.30762,0.54977,26.53191,0.76802,0.23222,1379.508,0.00003,0.49157,2.80423,2.69076,0.02807,39.81188
MWI0022,6,5,-12.58280638,34.11616009,497,5,17/04/2018,17/04/2018,Maize,Standing crop,Close pair,NA,NA,NA,NA,0.293,NA,81.251,NA,NA,NA,NA,1.755,20.87,5447.411,NA,1544.726,6.711,0.36,NA,4222.17,NA,5.277,1755.2156,NA,1.102,NA,NA,0.224,24.865,974.32799,0.15652,29130.6082,0.41894,12.6163,0,0.5209,0.5209,8.19894,5388.34189,0.00317,0.00096,0.02097,0.09028,0.00779,11.61773,30.71047,0.1154,0.00489,17.60664,10.94611,12.9093,612.9757,0.01215,35725.80972,0.18465,64.23416,10713.81857,2.07807,140.13708,9478.91156,11.92002,82.14768,3.91843,341.57544,0.00039,0.1714,0.0478,0.07429,12.30996,191.86146,0.07341,0.01158,17.45155,26.41344,351.19783,3.26525,1569.84475,0.23707,0.00013,5.57879,30.38272,5.64,6,0.39914,24.63724,1.90487,37.39986,0.34482,17.95367,0.34674,0.38739,3135.86251,0.00003,1.0935,4.73552,1.78599,0.35157,66.85819
MWI0023,4,3,-15.61882647,35.37075195,767,7,16/04/2018,16/04/2018,Maize,Standing crop,Main,NA,NA,NA,NA,0.601,NA,38.061,NA,0.011,0.094,NA,1.806,NA,3451.301,NA,1166.092,7.136,NA,0.265,2939.042,NA,5.817,1689.64693,NA,0.601,NA,NA,0.24,24.537,1343.5229,0.09915,24257.97266,0.30646,36.59208,0,1.185,1.185,6.35554,1552.46665,0.01679,0.00129,0.03187,0.30267,0.00694,12.7454,47.68387,0.55526,0.00518,15.65067,9.43077,22.28804,2034.58898,0.01238,39076.35264,0.40033,150.94166,1087.82552,2.07417,159.15737,1212.11847,47.94056,527.531,7.78171,715.6765,0.00007,0.29895,0.0797,0.06982,7.51036,70.17677,0.49875,0.05047,13.65548,14.52119,184.2981,0.13673,369.03432,0.16855,0.00013,6.11047,71.23438,5.38,5.85,1.16296,49.71134,1.5666,53.56453,2.07789,112.58854,0.91191,0.46079,1667.9594,0.00001,7.60563,5.77218,2.04765,0.3193,66.05968
MWI0024,6,5,-12.6089689,34.15149291,469,5,17/04/2018,17/04/2018,Maize,Standing crop,Main,NA,3.167,NA,NA,1.193,NA,65.403,NA,NA,NA,NA,2.023,NA,4345.586,NA,1350.774,7.2,0.348,NA,3086.157,NA,10.87,2337.53226,0.02468,1.124,NA,NA,0.233,24.252,1766.32762,0.04043,37775.01329,0.35032,11.58822,0,2.393,2.393,12.64426,5720.53638,0.02253,0.00056,0.0461,0.33789,0.00092,17.12275,78.4002,1.22232,0.00626,28.83876,17.69798,78.42542,7015.12335,0.01401,43718.93543,0.47677,126.68145,6504.86015,3.22922,204.09893,7317.86699,26.36775,383.29951,1.15226,606.18538,0.00012,0.21947,0.1344,0.08445,13.26753,196.05267,1.27847,0.03445,34.57902,60.40399,815.80839,1.98549,1472.84239,0.36387,0.00016,7.37154,100.23742,5.4,6.15,0.91816,85.36716,2.54619,107.29573,1.77961,136.03791,1.55665,0.39935,2243.79954,0.00003,2.92412,6.15587,2.51181,0.09731,67.30305
MWI0025,6,5,-12.6516449,34.17896032,472,5,17/04/2018,17/04/2018,Maize,Field stack,Main,NA,22.189,NA,NA,0.271,NA,59.726,NA,NA,NA,NA,1.439,44.629,4723.451,NA,1376.863,5.258,0.351,0.398,3231.305,NA,2.27,1720.08558,0.01027,0.328,NA,NA,0.287,22.033,1227.45619,0.02612,24273.17502,0.16284,30.60846,0.0832,0.7858,0.869,8.44519,3856.21561,0.00414,0.0001,0.0605,0.05045,0.00053,9.55975,49.90972,0.60385,0.00789,10.62304,8.97507,7.09017,1057.58331,0.00911,19809.91458,0.49705,173.54209,1017.29613,1.53766,138.244,1062.96031,16.14803,585.69353,0.0055,790.33021,0.00172,0.08689,0.0528,0.06182,11.14479,64.77794,0.16201,0.00298,21.04031,7.89636,104.30609,0.22963,213.20584,0.46234,0.00023,7.54921,49.24612,7.25,7.76,1.2463,44.50238,2.47016,43.51008,5.84775,83.55569,3.23431,0.23041,1260.96065,0.00435,0.52993,14.81738,3.71978,0.01188,21.35661
MWI0026,6,5,-12.71345733,34.16315507,502,5,17/04/2018,17/04/2018,Maize,Field stack,Main,NA,NA,NA,NA,1.855,NA,65.198,NA,NA,NA,NA,1.519,NA,4569.359,NA,991.498,5.714,0.169,NA,2970.836,NA,18.216,2343.11251,0.03794,0.891,NA,NA,0.229,22.334,1302.85303,0.02398,22172.4164,0.20014,68.22696,0,0.8879,0.8879,4.65528,1263.38501,0.00443,0.00014,0.05253,0.1696,0.00059,9.25861,41.11119,0.51037,0.0051,12.64133,5.54146,12.97395,908.37743,0.00798,21113.17957,0.20601,76.51865,508.12548,0.57727,44.12049,454.44612,36.00019,486.04195,1.06826,668.64223,0.00012,0.09628,0.0609,0.0658,9.77368,18.01617,0.26127,0.00741,15.43079,33.28818,261.03244,1.10124,492.37736,0.24724,0.00011,7.23252,47.85369,5.76,6.36,1.04001,48.32979,4.50139,43.22099,4.12353,81.6971,2.77013,0.29207,1788.89525,0.00001,1.51058,8.46226,2.87761,0.054,25.96723
MWI0027,6,5,-12.25119512,33.97939919,522,5,16/04/2018,16/04/2018,Maize,Standing crop,Main,NA,8.692,NA,NA,0.304,NA,53.898,NA,0.019,NA,NA,1.967,19.129,4937.674,0.026,1450.026,5.764,0.6,NA,3477.691,NA,9.925,2002.96652,0.00724,0.307,NA,NA,0.259,23.81,695.68218,0.0991,7759.68028,0.20999,5.56132,0,0.4622,0.4622,1.3988,386.0773,0.00781,0.00142,0.03377,0.10635,0.00088,3.40896,11.23995,0.19487,0.0052,4.8207,1.94128,9.39207,397.56214,0.01684,8477.42392,0.13821,56.50225,1073.99941,0.4038,35.47906,738.34058,19.98623,128.23561,3.6476,276.25627,0.00018,0.05715,0.0363,0.03809,4.58592,33.06309,0.0859,0.00965,4.04128,11.96161,60.93912,0.33234,147.68735,0.13754,0.00011,3.25815,12.80891,5.86,6.2,0.45369,28.79231,2.42749,29.8192,1.09977,29.61906,1.15291,0.21135,645.75739,0.00004,1.70535,3.58385,1.93196,0.19128,17.2657
MWI0029,6,5,-12.33903377,33.98858895,569,5,16/04/2018,16/04/2018,Maize,Standing crop,Main,NA,1.809,NA,NA,0.188,NA,36.523,NA,NA,NA,NA,1.423,17.824,4393.714,NA,1369.044,6.332,0.307,NA,3405.02,NA,23.281,1938.70671,0.11307,0.202,NA,NA,0.26,23.102,1638.72344,0.25395,18178.65338,0.29227,1.82121,0,0.7478,0.7478,2.16188,678.48617,0.00503,0.00062,0.01507,0.04126,0.00074,4.80716,16.37828,0.3043,0.0045,9.18621,2.74472,8.49667,950.89892,0.01037,14933.66099,0.1517,62.2504,345.32714,0.84735,75.60064,238.5978,55.53452,1295.86252,15.90138,1478.29238,0.00014,0.13498,0.0466,0.03599,4.35636,23.81847,0.1104,0.00824,7.38507,45.99472,377.70458,1.8993,681.90683,0.03975,0.00015,11.82103,57.61336,5.61,6.12,0.60745,30.56111,2.14845,28.89446,2.76294,65.00561,3.17188,0.34441,457.17012,0.00003,0.94804,2.8149,2.38563,0.05638,15.00073
